"filename", "language", "Markdown", "Batch", "YAML", "JSON with Comments", "JSON", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "HTML", "JavaScript", "comment", "blank", "total"
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\summarizer\archi-summarizer.md", "Markdown", 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 473
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\architecture\techDebt\td-memory-optimization.md", "Markdown", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 172
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\guides\mcp-connection-guide.md", "Markdown", 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 356
"d:\Codez\Nexus\Reach2\context-core\server\zz-reach2\protocol\cxs.md", "Markdown", 812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 225, 1037
"d:\Codez\Nexus\Reach2\context-core\start be.bat", "Batch", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Codez\Nexus\Reach2\context-core\start-fe&be.bat", "Batch", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Codez\Nexus\Reach2\context-core\visualizer\dev-dist\suppress-warnings.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Codez\Nexus\Reach2\context-core\visualizer\dev-dist\sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 21, 10, 127
"d:\Codez\Nexus\Reach2\context-core\visualizer\dev-dist\workbox-7e46c8bd.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2583, 1988, 62, 4633
"d:\Codez\Nexus\Reach2\context-core\visualizer\dev-dist\workbox-d940c54c.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2583, 1988, 62, 4633
"d:\Codez\Nexus\Reach2\context-core\visualizer\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 18
"d:\Codez\Nexus\Reach2\context-core\visualizer\package-lock.json", "JSON", 0, 0, 0, 0, 6987, 0, 0, 0, 0, 0, 0, 0, 1, 6988
"d:\Codez\Nexus\Reach2\context-core\visualizer\package.json", "JSON", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 27
"d:\Codez\Nexus\Reach2\context-core\visualizer\public\README-DATA-SOURCES.MD", "Markdown", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 181
"d:\Codez\Nexus\Reach2\context-core\visualizer\public\pwa\offline.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 44
"d:\Codez\Nexus\Reach2\context-core\visualizer\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"d:\Codez\Nexus\Reach2\context-core\visualizer\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1357, 0, 0, 0, 54, 101, 1512
"d:\Codez\Nexus\Reach2\context-core\visualizer\src\api\search.ts", "TypeScript", 0, 0, 0, 0, 0, 240, 0, 0, 0, 0, 0, 9, 28, 277
"d:\Codez\Nexus\Reach2\context-core\visualizer\src\components\UpdatePrompt.css", "PostCSS", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 6, 51
"d:\Codez\Nexus\Reach2\context-core\visualizer\src\components\UpdatePrompt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 4, 41
"d:\Codez\Nexus\Reach2\context-core\visualizer\src\components\agentBuilder\AgentBuilder.css", "PostCSS", 0, 0, 0, 0, 0, 0, 421, 0, 0, 0, 0, 17, 67, 505
"d:\Codez\Nexus\Reach2\context-core\visualizer\src\components\agentBuilder\AgentBuilder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 499, 0, 0, 0, 32, 32, 563
"d:\Codez\Nexus\Reach2\context-core\visualizer\src\components\agentBuilder\ContentFileDialog.css", "PostCSS", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 1, 18, 136
